
[Numeric.0.0]

Name,Value,Extent,Manipulate,TreatAs,Access,ScaleTo,Sim,OnWrite,HasSP,Label,Desc,Class,FormType,LimitMin,LimitMax,LimitType,ColType,Event1 / Mode,Event2 / Mode,Trigger1 / Mode,Trigger2 / Mode,QuickPlot / Mode,Sec / Access,Sec / Logging
RCLayerOverlapMax,[DiloCrosslapperPLC.DB0011:0086.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCApronHeightLMin,[DiloCrosslapperPLC.DB0011:0088.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCApronHeightMax,[DiloCrosslapperPLC.DB0011:0090.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCApronHeightRMin,[DiloCrosslapperPLC.DB0011:0080.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RCDiscontinuedAdvance,[DiloCrosslapperPLC.DB0015:0066.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
WLLoom1InfeedApronDraft,[DiloLoomsPLC.DB0150:0002.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
WLFingerRollerDraft,[DiloLoomsPLC.DB0150:0004.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
WLDrawOffDraft,[DiloLoomsPLC.DB0150:0006.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
WLLoom1AdvancePerStroke,[DiloLoomsPLC.DB0150:0012.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
WLLoom1NeedleLength,[DiloLoomsPLC.DB0150:0016.WORD],0,None,Default Integer,Read and Write,Do Not Scale,,,No,,,,General,,,Automatic,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
